,antecedents,consequents,support,confidence,lift
102,frozenset({'jng'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
110,frozenset({'mid'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
94,frozenset({'bot'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
116,frozenset({'sup'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
117,frozenset({'team'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
118,frozenset({'top'}),frozenset({'win'}),0.08332657474993241,0.49995944849959445,0.9999999999999999
413,"frozenset({'Blue', 'bot'})","frozenset({'lose', 'no_fb'})",0.03367126250337929,0.4040551500405515,0.9996990067221833
235,"frozenset({'win', ""Kai'Sa""})",frozenset({'no_fb'}),0.011624763449580968,0.75043630017452,0.9995188946944943
248,"frozenset({'Leona', 'sup'})",frozenset({'win'}),0.011895106785617735,0.49929078014184397,0.9986625548136809
566,"frozenset({'Red', 'sup'})","frozenset({'win', 'no_fb'})",0.028838875371722087,0.34606650446066506,0.9984011231135204
310,"frozenset({'top', 'no_fb'})",frozenset({'Red'}),0.07065423087320898,0.49911673430412984,0.9982334686082597
46,frozenset({'Leona'}),frozenset({'win'}),0.011895106785617735,0.4990076552310746,0.9980962590638575
182,"frozenset({'no_fb', 'mid'})",frozenset({'Blue'}),0.06951203027845364,0.49806295399515743,0.9961259079903149
187,"frozenset({'no_fb', 'sup'})",frozenset({'Blue'}),0.06493646931603136,0.4979012281701819,0.9958024563403638
411,"frozenset({'Blue', 'bot', 'no_fb'})",frozenset({'lose'}),0.03367126250337929,0.4977520231791388,0.9954233145403911
449,"frozenset({'Blue', 'mid', 'no_fb'})",frozenset({'lose'}),0.03459718842930522,0.49771511910549343,0.9953495123786772
144,"frozenset({'bot', 'no_fb'})",frozenset({'Blue'}),0.06764666125979994,0.4975641280572678,0.9951282561145356
17,frozenset({'Blue'}),frozenset({'no_fb'}),0.3734995944849959,0.7469991889699918,0.994940947717125
18,frozenset({'no_fb'}),frozenset({'Blue'}),0.3734995944849959,0.4974704738585625,0.994940947717125
164,"frozenset({'jng', 'no_fb'})",frozenset({'Blue'}),0.05950932684509327,0.49628001352722356,0.9925600270544471
